"x","y"
7474,8500
8552,2788
3163,7950
6636,2100
7115,2375
8912,1480
8792,8156
6517,3407
7714,4371
9271,7193
8433,1756
5678,6917
9271,7743
9510,5541
9391,6298
4241,9257
6876,6092
9151,2306
6876,2788
9989,8707
8912,5197
8073,5266
4361,5747
7594,3339
6756,7950
6516,8087
3163,7537
5199,9395
7115,6229
5798,8776
7834,6917
9271,7468
8313,1824
6756,5334
7834,8432
4002,9120
7355,2650
5439,4990
5558,5472
3163,7399
4600,7950
5678,9395
8073,3614
7115,3751
4840,4371
7594,7881
6876,2926
8552,3614
4960,3614
7355,9257
4720,8294
3523,9257
9151,5059
5798,3132
8193,2444
8313,9257
6277,8087
4361,6298
6995,7812
8912,7124
7954,6160
3403,7812
8433,2031
7834,6504
4361,6711
3882,8638
4241,5954
7954,7950
7474,7812
7115,4164
7235,4371
4361,4233
10229,8982
5798,6573
7115,9257
8073,5679
6038,4509
8672,7812
2924,7812
5678,7881
7834,4302
3882,6023
4960,3338
9630,9326
8912,1893
8672,5197
5798,6160
5678,6780
6157,3476
5798,6986
8552,8982
8552,4164
4600,7674
8552,6505
7834,6229
7355,8845
9510,6505
8313,3889
7475,6160
5678,6504
8313,7055
4840,4784
6157,8982
4720,7468
4361,4096
5080,4646
9031,2926
4600,7812
8672,3270
8553,1549
4481,7055
6756,7812
5439,3614
6876,8432
6157,1687
6397,3201
8912,4784
6756,8638
7355,3339
7714,6986
8313,7330
3642,8638
6996,3820
9391,8776
9630,6298
5798,3545
7714,4096
10349,8363
7714,4646
7235,7399
3762,9120
8313,5403
6996,1618
7355,8982
4720,8431
5798,2994
7953,8225
6157,6917
6516,9326
9989,8982
9510,7193
7714,2581
4600,9051
6038,2168
5319,7812
7594,2513
7235,3545
6756,6849
4241,4715
4241,7881
4481,8431
4481,5541
3762,8156
8073,3339
9630,8913
6277,4921
8433,6023
8552,1824
7594,5816
4241,7743
9032,2100
9391,5472
9391,6711
7355,5816
6876,7193
9151,8500
3044,7743
9151,2582
6996,1756
9031,8156
7475,7124
6756,7262
5319,6436
5080,3270
7355,6642
4960,4027
8792,7468
6756,6711
6517,2857
5798,3683
8313,3614
7594,8156
4840,7124
4361,5334
6756,7674
8672,2582
4361,4921
4481,4440
6397,9120
5199,6367
4720,6367
8432,9051
7714,4784
7714,3132
8552,8294
9750,8019
7834,7468
7594,4164
6996,2444
8552,2100
4002,5816
8073,5403
6516,8500
6517,5747
6397,4027
6876,7055
6277,8638
7594,5679
10229,8294
3523,9395
3882,9051
9271,8156
7834,4853
9870,8776
8193,6849
5079,5197
6397,8844
7235,6711
6038,1756
7235,7950
6038,5334
6756,2306
6517,4371
5079,7399
5918,4027
8672,8363
8313,5954
6037,8363
6517,4784
8433,5197
8193,4233
9750,8294
7235,7262
4002,9395
8313,2237
8792,6092
4840,6023
9989,6918
5798,7812
7594,6917
6756,8776
6995,8225
8552,2513
9032,1824
7475,3545
5319,3545
6397,9257
9630,5472
8073,8845
5558,9189
6996,2719
5319,3132
9989,7881
7475,2719
8313,2375
4840,8638
4121,6986
4481,5816
5798,8500
5918,4440
9031,4715
4481,8982
8193,8500
5439,5679
3523,6504
10109,8500
6636,6367
7355,5541
6397,3614
5558,5747
4840,8363
6157,2375
10229,8432
8792,6642
3642,8913
8313,6917
7714,5610
7834,5266
7355,6780
8792,2237
7115,3201
9989,8156
5439,6091
9870,6436
6397,8156
6756,1893
7714,1756
3523,5816
6397,6229
6157,4164
5439,9257
8672,4509
9271,8019
9031,2650
4481,4302
8672,5335
7474,8638
3044,8707
6037,8913
7834,9257
8552,4302
8672,7399
4481,6229
7115,2650
5319,8638
8313,6229
7235,6298
9870,7675
9510,9120
7355,3063
5798,6849
6516,6849
9750,8156
5798,6298
8313,7881
7115,7193
3403,6298
7834,2100
5079,6849
4720,4164
5439,5266
5079,5885
8433,6849
5798,7674
6038,5059
6995,7674
7594,7055
8313,1687
8792,7330
4720,6642
